,zip1,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2010_cat,2011_cat,2012_cat,2013_cat,2014_cat,2015_cat,2016_cat,2017_cat,2018_cat,2019_cat
61,11691,7296783.0,19168639.0,13294308.0,12642326.0,8002997.0,22253164.0,23900869.0,22675034.0,21817347.0,14745953.0,fair,good,fair,fair,poor,fair,fair,fair,good,good
62,11102,9649185.0,12788299.0,12012942.0,16784980.0,11409221.0,25938933.0,28503657.0,25773961.0,13382086.0,6028928.0,fair,fair,fair,fair,fair,good,good,good,fair,fair
63,11422,588521.0,1084630.0,1127949.0,817661.0,642809.0,558388.0,4280283.0,6992152.0,902375.0,670000.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
64,11208,13659332.0,17088966.0,9541779.0,11070078.0,15279097.0,35581187.0,26255421.0,19588495.0,6159678.0,9166914.0,fair,good,fair,fair,fair,good,good,fair,poor,good
65,11204,16438088.0,11949372.0,14087807.0,16005395.0,20594444.0,28091155.0,24801793.0,25774747.0,9051838.0,2667245.0,good,fair,fair,fair,fair,good,fair,good,fair,fair
66,10304,16062924.0,13560207.0,7823466.0,14641275.0,14597193.0,25176785.0,17769123.0,15725268.0,9392542.0,24855310.0,fair,fair,fair,fair,fair,fair,fair,fair,fair,good
67,10460,10553850.0,30479837.0,11627412.0,14208181.0,46785249.0,13547355.0,26429286.0,16840151.0,16080978.0,8937268.0,fair,good,fair,fair,good,fair,good,fair,fair,good
68,10303,4514526.0,2057068.0,3464764.0,9973531.0,13212748.0,29377092.0,15494948.0,4784873.0,21924758.0,2084977.0,poor,poor,poor,fair,fair,good,fair,poor,good,poor
69,11429,3070744.0,1776836.0,1488600.0,1756774.0,3962327.0,4580736.0,5161539.0,6538001.0,1186200.0,213162.0,poor,poor,poor,poor,poor,poor,poor,poor,poor,poor
70,10103,167715675.0,151742862.0,219112462.0,166649870.0,255959330.0,202440548.0,299569375.0,273960525.0,258660738.0,105474721.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
71,10167,147174853.0,104456865.0,87508803.0,150115605.0,107841441.0,312915725.0,172462727.0,140406486.0,303453041.0,127587283.0,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
72,10458,25204897.0,45738277.0,19947621.0,61545343.0,35820425.0,42283961.0,44618230.0,26441066.0,16066211.0,7183860.0,good,excellent,good,excellent,good,good,good,good,fair,fair
