year,incident_zip,complaint_type,avg_job_time
2016,10271,Found Property,1010.1649537037038
2017,10271,Found Property,726.6522974537037
2017,10271,Food Establishment,60.64925925925926
2019,10271,Taxi Complaint,97.3296412037037
2019,10271,General Construction/Plumbing,62.41965277777778
2011,10278,Traffic Signal Condition,643.3215277777778
2016,10278,New Tree Request,804.084224537037
2018,10278,Graffiti,91.39230324074074
2019,10278,For Hire Vehicle Complaint,113.16015046296296
2019,10278,Taxi Complaint,63.05104166666666
2011,10279,Stalled Sites,637.432349537037
2016,10279,Food Establishment,60.945459104938266
2017,10279,Food Establishment,60.71013888888889
2019,10279,Taxi Complaint,117.12193287037037
2019,10279,For Hire Vehicle Complaint,115.97372685185185
2010,10280,Found Property,3067.9762847222223
2011,10280,Found Property,2684.3767592592594
2012,10280,Found Property,2342.93875
2014,10280,Found Property,1535.8066087962964
2016,10280,New Tree Request,967.841099537037
2010,10281,Found Property,3099.520902777778
2012,10281,For Hire Vehicle Complaint,236.44237268518518
2014,10281,Found Property,1635.7866319444445
2016,10281,Found Property,901.1097800925926
2017,10281,DOF Property - Payment Issue,238.81436342592593
2011,10282,Found Property,2868.084953703704
2012,10282,Found Property,2385.0261805555556
2012,10282,General Construction/Plumbing,947.5985763888889
2013,10282,Found Property,1986.0588773148147
2014,10282,Found Property,1572.750787037037
2010,10301,Stalled Sites,1133.3051080246912
2010,10301,Root/Sewer/Sidewalk Condition,1004.5384882054674
2011,10301,Overgrown Tree/Branches,693.3177641782407
2012,10301,Stalled Sites,2569.4059375
2012,10301,Overgrown Tree/Branches,794.4011309989567
2010,10302,Overgrown Tree/Branches,836.4223815359475
2010,10302,Root/Sewer/Sidewalk Condition,604.5773125
2011,10302,Special Projects Inspection Team (SPIT),582.2713522376544
2012,10302,Overgrown Tree/Branches,903.274449845679
2012,10302,Special Projects Inspection Team (SPIT),871.6383680555556
2010,10303,Overgrown Tree/Branches,896.185794402357
2010,10303,Root/Sewer/Sidewalk Condition,814.2783912037038
2011,10303,Special Projects Inspection Team (SPIT),914.5313368055556
2012,10303,Illegal Tree Damage,792.7882899305555
2012,10303,Overgrown Tree/Branches,740.0023245370369
2010,10304,Stalled Sites,1658.6374228395061
2010,10304,Overgrown Tree/Branches,796.3786418737816
2010,10304,Root/Sewer/Sidewalk Condition,773.8283722222226
2011,10304,Stalled Sites,2793.6799189814815
2012,10304,Overgrown Tree/Branches,739.3130912755431
2010,10305,Root/Sewer/Sidewalk Condition,651.781136039886
2010,10305,Overgrown Tree/Branches,640.2017357982983
2011,10305,Overgrown Tree/Branches,868.1460941537468
2012,10305,Overgrown Tree/Branches,736.6529169926971
2015,10305,Stalled Sites,756.1682233796296
2010,10306,Stalled Sites,982.1954012345678
2010,10306,Overgrown Tree/Branches,792.8943439244036
2010,10306,Root/Sewer/Sidewalk Condition,708.7940842536814
2011,10306,Overgrown Tree/Branches,756.653631295167
2011,10306,Root/Sewer/Sidewalk Condition,715.0711464589589
2010,10307,Stalled Sites,1892.206550925926
2011,10307,Overgrown Tree/Branches,954.9641907051281
2011,10307,Special Projects Inspection Team (SPIT),890.6468297955975
2012,10307,Overgrown Tree/Branches,813.8069377436645
2012,10307,Special Projects Inspection Team (SPIT),802.9295975783475
2010,10308,Overgrown Tree/Branches,949.0772511574073
2010,10308,Special Projects Inspection Team (SPIT),824.7879269547325
2010,10308,Stalled Sites,712.1916956018518
2010,10308,Root/Sewer/Sidewalk Condition,698.949844393004
2012,10308,Overgrown Tree/Branches,731.739003776803
2010,10309,Stalled Sites,3307.652175925926
2010,10309,Root/Sewer/Sidewalk Condition,860.8996209490741
2011,10309,Special Projects Inspection Team (SPIT),790.926573319243
2011,10309,Overgrown Tree/Branches,675.8000552761813
2012,10309,Overgrown Tree/Branches,710.1931918942248
2010,10310,Overgrown Tree/Branches,914.2771154250842
2010,10310,Root/Sewer/Sidewalk Condition,799.55343123071
2011,10310,Special Projects Inspection Team (SPIT),1105.075289351852
2012,10310,Overgrown Tree/Branches,875.2104927248679
2016,10310,New Tree Request,902.0370295004311
2010,10312,Special Projects Inspection Team (SPIT),980.2395370370369
2010,10312,Overgrown Tree/Branches,940.0711995294472
2010,10312,Root/Sewer/Sidewalk Condition,769.105541820988
2011,10312,Special Projects Inspection Team (SPIT),918.8723090277776
2012,10312,Special Projects Inspection Team (SPIT),809.8694560185186
2010,10314,Overgrown Tree/Branches,936.2920218538432
2010,10314,Root/Sewer/Sidewalk Condition,750.0416020242319
2010,10314,Special Projects Inspection Team (SPIT),702.8670247395834
2011,10314,Overgrown Tree/Branches,686.5150813757434
2012,10314,Overgrown Tree/Branches,745.5619679762638
2011,10451,Illegal Tree Damage,1412.5250810185184
2011,10451,Root/Sewer/Sidewalk Condition,1156.0890972222223
2013,10451,Found Property,2200.126521990741
2014,10451,Found Property,1627.2189351851853
2015,10451,Facades,1308.381574074074
2010,10452,Stalled Sites,2013.0106828703704
2010,10452,Special Projects Inspection Team (SPIT),995.2336226851852
2010,10452,Damaged Tree,791.8122579089505
2010,10452,Illegal Tree Damage,700.600480324074
2016,10452,Forensic Engineering,1058.3867592592592
2010,10453,Found Property,3091.9289236111113
2010,10453,Root/Sewer/Sidewalk Condition,841.0593680555555
2011,10453,Root/Sewer/Sidewalk Condition,926.4170920138888
2012,10453,Stalled Sites,2468.255451388889
2014,10453,Forensic Engineering,1035.3660300925926
2010,10454,Overgrown Tree/Branches,986.878850308642
2012,10454,Root/Sewer/Sidewalk Condition,943.3568827160494
2014,10454,Highway Sign - Damaged,737.0424537037037
2015,10454,Found Property,1455.8010069444445
2015,10454,Quality of Life,805.1721064814815
2010,10455,Damaged Tree,915.2407460826211
2011,10455,Found Property,2609.580104166667
2011,10455,Stalled Sites,1770.3608449074075
2011,10455,Illegal Tree Damage,1420.9943441358025
2011,10455,Root/Sewer/Sidewalk Condition,913.5224791666667
2010,10456,Overgrown Tree/Branches,857.6787191358025
2011,10456,Illegal Tree Damage,1175.4317052469135
2011,10456,Root/Sewer/Sidewalk Condition,935.6022119341562
2012,10456,Root/Sewer/Sidewalk Condition,811.7153602430556
2012,10456,Illegal Tree Damage,753.6520543981482
2010,10457,Stalled Sites,3043.3806365740743
2010,10457,Dead Tree,892.0877546296297
2011,10457,Illegal Tree Damage,1376.934386574074
2012,10457,Found Property,2429.6163657407405
2013,10457,Stalled Sites,1504.5783217592593
2010,10458,Root/Sewer/Sidewalk Condition,1156.8167997685186
2010,10458,Dead Tree,732.5280621693122
2011,10458,Found Property,2666.871099537037
2011,10458,Root/Sewer/Sidewalk Condition,737.3526759259261
2014,10458,Building Marshals office,765.8073919753086
2010,10459,Found Property,3166.785578703704
2010,10459,Overgrown Tree/Branches,1531.5962037037038
2010,10459,Illegal Tree Damage,1528.3018171296296
2011,10459,Illegal Tree Damage,1432.9852083333333
2011,10459,Root/Sewer/Sidewalk Condition,1088.3745555555556
2010,10460,Illegal Tree Damage,1784.0496064814815
2010,10460,Root/Sewer/Sidewalk Condition,947.9938738425926
2010,10460,Overgrown Tree/Branches,801.1830237268517
2011,10460,Root/Sewer/Sidewalk Condition,750.6988811728396
2012,10460,Root/Sewer/Sidewalk Condition,744.0135807291667
2010,10461,Dead Tree,845.800765174897
2011,10461,Root/Sewer/Sidewalk Condition,774.20519379845
2014,10461,Found Property,1563.1665625
2014,10461,Forensic Engineering,1270.301099537037
2017,10461,Found Property,760.9123611111111
2010,10462,Root/Sewer/Sidewalk Condition,1099.426793981481
2010,10462,Overgrown Tree/Branches,837.7239128086421
2011,10462,Root/Sewer/Sidewalk Condition,922.533503787879
2012,10462,Cranes and Derricks,1116.4655902777777
2012,10462,Illegal Tree Damage,1085.0287037037037
2010,10463,Root/Sewer/Sidewalk Condition,1256.0717476851848
2011,10463,Root/Sewer/Sidewalk Condition,1087.1484363977074
2012,10463,Root/Sewer/Sidewalk Condition,909.1155298353909
2014,10463,Found Property,1776.5828703703703
2016,10463,Found Property,978.1197685185185
2010,10464,Special Projects Inspection Team (SPIT),1454.5394560185184
2011,10464,Root/Sewer/Sidewalk Condition,857.3722280092593
2011,10464,Special Projects Inspection Team (SPIT),857.2925983796297
2011,10464,Illegal Tree Damage,742.8038425925926
2012,10464,Root/Sewer/Sidewalk Condition,743.9559143518519
2010,10465,Illegal Tree Damage,935.7575347222222
2010,10465,Overgrown Tree/Branches,830.0596378600823
2010,10465,Special Projects Inspection Team (SPIT),813.9295601851851
2013,10465,Boilers,785.8145052083333
2014,10465,Construction Safety Enforcement,1302.7052083333333
2010,10466,Special Projects Inspection Team (SPIT),1171.5432548868312
2010,10466,Root/Sewer/Sidewalk Condition,1050.8868375861325
2011,10466,Quality of Life,1347.6816550925926
2011,10466,Special Projects Inspection Team (SPIT),936.9939158950616
2012,10466,Illegal Tree Damage,1014.7266087962963
2010,10467,Special Projects Inspection Team (SPIT),885.3612924382716
2010,10467,Root/Sewer/Sidewalk Condition,877.5514884259261
2011,10467,Root/Sewer/Sidewalk Condition,1142.0944772376545
2015,10467,Stalled Sites,952.3192013888889
2016,10467,Quality of Life,1037.2017361111111
2010,10468,Stalled Sites,2930.5296180555556
2010,10468,Root/Sewer/Sidewalk Condition,1501.1014081790124
2011,10468,Root/Sewer/Sidewalk Condition,916.6938240740741
2012,10468,ATF,1625.4472222222223
2015,10468,Found Property,1340.2958333333333
2010,10469,Found Property,3061.471863425926
2010,10469,Special Projects Inspection Team (SPIT),1314.4683159722222
2010,10469,Root/Sewer/Sidewalk Condition,1128.383402967517
