boro,boro_name,postcode,10_11growth,11_12growth,12_13growth,13_14growth,14_15growth,15_16growth,16_17growth,17_18growth
4,Queens,11415,0.022789308,0.010220634,0.038503008,0.050577136,0.137994293,0.097956434,0.050960564,0.087407413
4,Queens,11427,0.005210773,0.028925641,0.002899514,0.033785587,0.08292281,0.070672841,0.042654847,0.108773671
4,Queens,11420,-0.045217383,-0.006454222,0.001125439,0.032187146,0.100841986,0.100918788,0.049659349,0.084818433
1,Manhattan,10280,0.137700927,-0.032421288,0.002649636,0.118311366,0.084941565,0.099943916,0.072792066,0.008981904
1,Manhattan,10010,0.200307304,-0.011023672,0.295588371,0.199972846,0.05809209,0.124235426,0.071280969,0.043951675
2,Bronx,10462,0.092426173,0.036289849,0.172974955,-0.019083984,0.044006245,0.044169743,0.058680536,0.087820788
5,Staten Island,10303,-0.017937025,0.003053659,-0.031968558,0.027848008,0.042845115,0.053168036,0.051065892,0.111829307
4,Queens,11430,-0.005978832,0.005711586,-0.013682418,-0.009103326,0.14172672,0.122041155,0.070372387,0.062970515
3,Brooklyn,11213,-0.051981172,0.048854539,0.020688245,0.173799497,0.131690505,0.213606183,0.166034989,0.187003104
3,Brooklyn,11233,-0.023308543,-0.010457697,0.029598536,0.078621053,0.121444115,0.187998391,0.210265387,0.182203876
4,Queens,11411,0.010672399,0.037170473,0.005067001,0.021063057,0.06620747,0.056522529,0.029755972,0.082528385
4,Queens,11691,-0.013697793,0.018350903,-0.085815889,0.018164541,0.034952358,0.177388682,0.032520248,0.09641475
1,Manhattan,10016,0.187516323,0.02069803,0.019181882,0.049676887,0.068519259,0.065041194,0.059576257,0.073829293
3,Brooklyn,11239,0.014274995,0.00482747,-0.009304785,0.035761084,0.036244676,0.18619802,0.297453291,0.130319824
4,Queens,11367,0.056366622,0.041585909,0.019345692,0.058718584,0.078743752,0.122813745,0.031894378,0.127491384
5,Staten Island,10309,0.071063365,0.007869277,0.003851249,0.037780374,0.061415705,0.031818423,0.048552596,0.092773215
2,Bronx,10463,0.021736254,0.034063905,0.009250837,0.030403459,0.058890294,0.102624989,0.074390038,0.084618719
3,Brooklyn,11228,0.016826044,0.053266967,0.021041638,0.074765447,0.074696912,0.123356124,0.112765333,0.103039986
5,Staten Island,10314,0.008247108,0.015037082,-0.010560479,0.018131173,0.080157575,0.045181008,0.06197035,0.111043768
5,Staten Island,10307,0.015628858,0.017035395,-0.01354786,0.040981556,0.054348867,0.056598157,0.039678088,0.090482564
1,Manhattan,10001,0.21309494,0.026321284,0.009841933,0.099118538,0.094057029,0.108889787,0.054327413,0.135826243
1,Manhattan,10040,0.106470936,-0.01181331,0.022985518,0.076584377,0.118746038,0.057985168,0.101989929,0.11735841
4,Queens,11369,-0.06606505,-0.001318172,-0.002466435,0.063758615,0.098478073,0.138121135,0.047126468,0.15253735
1,Manhattan,10006,0.297961545,-0.072633866,-0.021712554,0.093865998,0.078027173,0.087505609,0.062630872,0.044779649
2,Bronx,10453,0.037207484,0.131473032,0.005223371,0.025471117,0.067087889,0.056962512,0.11178311,0.100157862
1,Manhattan,10009,0.137873476,0.033404155,0.058321582,0.06435205,0.109759444,0.093229578,0.08731235,0.101647412
2,Bronx,10460,-0.035507264,0.064847346,0.02804885,0.023574252,0.047823192,0.061151775,0.119680106,0.107479274
1,Manhattan,10038,0.050034678,0.032026114,0.017672973,0.034050309,0.065512149,0.090479629,0.123670527,0.122250562
1,Manhattan,10065,0.117935186,-0.015489719,0.031647864,0.047314086,0.06780005,0.077060418,0.036840398,0.030862926
1,Manhattan,10017,0.0912834,-0.072930324,0.020143832,0.038290927,0.049217304,0.093253161,0.018947399,0.072503149
4,Queens,11434,-0.02096901,0.017444941,0.015429122,0.03009775,0.078229082,0.096944401,0.041114697,0.094643701
